marker,marker_group,marker_category
harm,dyadic_harm,harm_justification
damage,dyadic_harm,harm_justification
agent,dyadic_harm,harm_justification
patient,dyadic_harm,harm_justification
intention,dyadic_harm,harm_justification
intentional,dyadic_harm,harm_justification
preemptive,justification_for_violence,harm_justification
defend,justification_for_violence,harm_justification
protect,justification_for_violence,harm_justification
self-defense,justification_for_violence,harm_justification
forced to fight,justification_for_violence,harm_justification
no longer ignore,justification_for_violence,harm_justification
act of defense,justification_for_violence,harm_justification
purified,justification_for_violence,harm_justification
purify,justification_for_violence,harm_justification
brutal steps should have been used,justification_for_violence,harm_justification
need for jihaad,justification_for_violence,harm_justification
reasons for jihaad,justification_for_violence,harm_justification
need for war,justification_for_violence,harm_justification
the struggle is imposed upon,justification_for_violence,harm_justification
natural struggle,justification_for_violence,harm_justification
cannot coexist,justification_for_violence,harm_justification
die in glory,martyrdom_narrative,harm_justification
sacrifice,martyrdom_narrative,harm_justification
knight,martyrdom_narrative,harm_justification
martyr,martyrdom_narrative,harm_justification
dying selflessly,martyrdom_narrative,harm_justification
protecting our people,martyrdom_narrative,harm_justification
immortal,martyrdom_narrative,harm_justification
act of preservation,martyrdom_narrative,harm_justification
my death,martyrdom_narrative,harm_justification
defending the work of the lord,martyrdom_narrative,harm_justification
standing guard,martyrdom_narrative,harm_justification
appears as the herald,martyrdom_narrative,harm_justification
release mankind from servitude,martyrdom_narrative,harm_justification
free from,martyrdom_narrative,harm_justification
freed from,martyrdom_narrative,harm_justification
breivik,violent_reference,violent_identification
tarrant,violent_reference,violent_identification
hitler,violent_reference,violent_identification
christchurch,violent_reference,violent_identification
poway,violent_reference,violent_identification
el paso,violent_reference,violent_identification
utoya,violent_reference,violent_identification
halle,violent_reference,violent_identification
hero,role_model_status,violent_identification
role model,role_model_status,violent_identification
saint,role_model_status,violent_identification
inspiring,role_model_status,violent_identification
inspire,role_model_status,violent_identification
inspiration,role_model_status,violent_identification
support,role_model_status,violent_identification
influenced by,role_model_status,violent_identification
democracy,hopelessness,harm_justification
democratic,hopelessness,harm_justification
peaceful,hopelessness,harm_justification
political,hopelessness,harm_justification
system,hopelessness,harm_justification
politics,hopelessness,harm_justification
dialogue,hopelessness,harm_justification
passivity,hopelessness,harm_justification
meaningless,hopelessness,harm_justification
weakness,hopelessness,harm_justification
failed,hopelessness,harm_justification
end,hopelessness,harm_justification
vanish,hopelessness,harm_justification
man-made,hopelessness,harm_justification
jahili,hopelessness,harm_justification
all societies existing,hopelessness,harm_justification