doc_id,corpus,author,segment_id,has_violent_reference,has_role_model_status,violent_reference_count,role_model_status_count,word_count,role_model_glorification
SotU-2010,longitudinal,sotu,1,FALSE,TRUE,0,8,7486,FALSE
SotU-2011,longitudinal,sotu,1,FALSE,TRUE,0,8,7113,FALSE
SotU-2012,longitudinal,sotu,1,FALSE,TRUE,0,7,7270,FALSE
SotU-2022,longitudinal,sotu,1,FALSE,TRUE,0,10,8124,FALSE
SotU-2023,longitudinal,sotu,1,FALSE,TRUE,0,9,9783,FALSE
SotU-2024,longitudinal,sotu,1,TRUE,TRUE,1,2,8689,TRUE
SotU-2026,longitudinal,sotu,1,FALSE,TRUE,0,5,10899,FALSE
Speech At The First All-Russia Congress Of The Navy_11.22.1917,longitudinal,lenin,1,FALSE,TRUE,0,2,2033,FALSE
Speech to the Italian parliament_5.16.1925,longitudinal,gramsci,1,FALSE,FALSE,0,0,3493,FALSE
Speech to the Italian parliament_5.16.1925,non_longitudinal,NA,1,FALSE,FALSE,0,0,3493,FALSE
Sterile and Negative Criticism_9.30.1925,longitudinal,gramsci,1,FALSE,FALSE,0,0,1056,FALSE
Sterile and Negative Criticism_9.30.1925,non_longitudinal,NA,1,FALSE,FALSE,0,0,1056,FALSE
The Agrarian Struggle in Italy_8.31.1921,longitudinal,gramsci,1,FALSE,TRUE,0,1,836,FALSE
The Agrarian Struggle in Italy_8.31.1921,non_longitudinal,NA,1,FALSE,TRUE,0,1,836,FALSE
The Arditi del Popolo_7.15.1921,longitudinal,gramsci,1,FALSE,TRUE,0,1,1060,FALSE
The Arditi del Popolo_7.15.1921,non_longitudinal,NA,1,FALSE,TRUE,0,1,1060,FALSE
The Balkan War and Bourgeois Chauvinism_3.29.1913,longitudinal,lenin,1,FALSE,FALSE,0,0,439,FALSE
The Black Hundreds and the Organisation of an Uprising_8.29.1905,longitudinal,lenin,1,FALSE,FALSE,0,0,1833,FALSE
The British Liberals and Ireland_3.12.1914,longitudinal,lenin,1,FALSE,TRUE,0,1,1056,FALSE
The Cadets and “The Right of Nations to Self-Determination”_12.11.1913,longitudinal,lenin,1,FALSE,FALSE,0,0,724,FALSE
The Campaign Against Finland_4.26.1910,longitudinal,lenin,1,FALSE,TRUE,0,2,1466,FALSE
The Communists and the Elections_4.12.1921,longitudinal,gramsci,1,FALSE,TRUE,0,3,1052,FALSE
The Communists and the Elections_4.12.1921,non_longitudinal,NA,1,FALSE,TRUE,0,3,1052,FALSE
"The Council of Europe, 1949",longitudinal,churchill,1,FALSE,FALSE,0,0,1972,FALSE
The Discussion On Self-Determination Summed Up_7.16,longitudinal,lenin,1,FALSE,TRUE,0,10,14226,FALSE
"The Few, 1940",longitudinal,churchill,1,TRUE,FALSE,6,0,5109,FALSE
The Fourth Climacteric. 1941,longitudinal,churchill,1,TRUE,FALSE,8,0,2039,FALSE
The Genoa Conference and Italy (19 April 1922)_4.19.1922,longitudinal,gramsci,1,FALSE,TRUE,0,2,673,FALSE
The Genoa Conference and Italy (19 April 1922)_4.19.1922,non_longitudinal,NA,1,FALSE,TRUE,0,2,673,FALSE
"The Invasion of France, 1944",longitudinal,churchill,1,TRUE,FALSE,1,0,1586,FALSE
The Latest Word in Bundist Nationalism_8.15.1903,longitudinal,lenin,1,FALSE,FALSE,0,0,1380,FALSE
"The Lights are Going Out (We Must Arm), 1938",longitudinal,churchill,1,TRUE,FALSE,1,0,2451,FALSE
The National Equality Bill_3.28.1914,longitudinal,lenin,1,FALSE,TRUE,0,1,529,FALSE
The National Programme of the R.S.D.L.P._12.15.1913,longitudinal,lenin,1,FALSE,FALSE,0,0,2372,FALSE
The National Question in Our Programme_7.15.1903,longitudinal,lenin,1,FALSE,TRUE,0,5,3403,FALSE
The Nationalisation of Jewish Schools_8.18.1913,longitudinal,lenin,1,FALSE,FALSE,0,0,487,FALSE
The Nationality of Pupils in Russian Schools_12.14.1913,longitudinal,lenin,1,FALSE,FALSE,0,0,974,FALSE
"The Old Lion, 1941",longitudinal,churchill,1,FALSE,TRUE,0,2,1120,FALSE
The Position of the Bund in the Party_10.22.1903,longitudinal,lenin,1,FALSE,TRUE,0,1,4040,FALSE
The Protest of the Finnish People_11.20.1901,longitudinal,lenin,1,FALSE,FALSE,0,0,1922,FALSE
The Question of Nationalities or _Autonomisation__12.31.1922,longitudinal,lenin,1,FALSE,FALSE,0,0,2075,FALSE
The Revolution against ‘Capital’_12.24.1917,longitudinal,gramsci,1,FALSE,FALSE,0,0,1311,FALSE
The Revolution against ‘Capital’_12.24.1917,non_longitudinal,NA,1,FALSE,FALSE,0,0,1311,FALSE
The Revolutionary Proletariat and the Right of Nations to Self-Determination_10.16.1915,longitudinal,lenin,1,FALSE,TRUE,0,2,2413,FALSE
The Seventh (April) All-Russia Conference of the R.S.D.L.P.(B.)_4.29.1917,longitudinal,lenin,1,FALSE,FALSE,0,0,1736,FALSE
"The Sinews of Peace, 1946",longitudinal,churchill,1,TRUE,TRUE,1,2,4872,TRUE
The Social Significance of the Serbo-Bulgarian Victories_11.7.1912,longitudinal,lenin,1,FALSE,FALSE,0,0,634,FALSE
The Socialist Revolution and the Right of Nations to Self-Determination_2.16,longitudinal,lenin,1,FALSE,TRUE,0,2,4502,FALSE
The Tsar Against the Finnish People_10.31.1909,longitudinal,lenin,1,FALSE,TRUE,0,2,1084,FALSE
The Turin factory council movement_3.14.1921,longitudinal,gramsci,1,FALSE,TRUE,0,2,2990,FALSE
The Turin factory council movement_3.14.1921,non_longitudinal,NA,1,FALSE,TRUE,0,2,2990,FALSE
The Ukraine_6.28.1917,longitudinal,lenin,1,FALSE,FALSE,0,0,536,FALSE
The Vatican_3.12.1924,longitudinal,gramsci,1,FALSE,TRUE,0,3,1493,FALSE
The Vatican_3.12.1924,non_longitudinal,NA,1,FALSE,TRUE,0,3,1493,FALSE
The War and Russian Social-Democracy_9.28.1914,longitudinal,lenin,1,FALSE,TRUE,0,2,2691,FALSE
The Working Class and the National Question_5.10.1913,longitudinal,lenin,1,FALSE,FALSE,0,0,534,FALSE
The events of 2-3 December (1919)_12.6-13.19,longitudinal,gramsci,1,FALSE,TRUE,0,1,1841,FALSE
The events of 2-3 December (1919)_12.6-13.19,non_longitudinal,NA,1,FALSE,TRUE,0,1,1841,FALSE
The grimace of Gwynplaine_8.30.1921,longitudinal,gramsci,1,FALSE,FALSE,0,0,871,FALSE
The grimace of Gwynplaine_8.30.1921,non_longitudinal,NA,1,FALSE,FALSE,0,0,871,FALSE
The parties and the Masses_9.25.1921,longitudinal,gramsci,1,FALSE,TRUE,0,1,1382,FALSE
The parties and the Masses_9.25.1921,non_longitudinal,NA,1,FALSE,TRUE,0,1,1382,FALSE
The tactic of failure_9.22.1921,longitudinal,gramsci,1,FALSE,FALSE,0,0,1112,FALSE
The tactic of failure_9.22.1921,non_longitudinal,NA,1,FALSE,FALSE,0,0,1112,FALSE
The two fascisms_8.25.1921,longitudinal,gramsci,1,FALSE,TRUE,0,2,879,FALSE
The two fascisms_8.25.1921,non_longitudinal,NA,1,FALSE,TRUE,0,2,879,FALSE
The “Vexed Questions” of Our Party_11.1912,longitudinal,lenin,1,FALSE,FALSE,0,0,2638,FALSE
"Their Finest Hour, 1940",longitudinal,churchill,1,TRUE,TRUE,3,3,4403,TRUE
Theses on the National Question_6.1913,longitudinal,lenin,1,FALSE,FALSE,0,0,2769,FALSE
To the Communists of Turkestan_11.22.1919,longitudinal,lenin,1,FALSE,FALSE,0,0,212,FALSE
To the Indian Revolutionary Association_5.13.1920,longitudinal,lenin,1,FALSE,FALSE,0,0,158,FALSE
To the Jewish Workers_5.1905,longitudinal,lenin,1,FALSE,FALSE,0,0,1125,FALSE
To the section commissars of the FIAT-Brevetti workshops_9.13.1919,longitudinal,gramsci,1,FALSE,TRUE,0,1,1448,FALSE
To the section commissars of the FIAT-Brevetti workshops_9.13.1919,non_longitudinal,NA,1,FALSE,TRUE,0,1,1448,FALSE
To_   S. G. SHAHUMYAN_7.6.1914,longitudinal,lenin,1,FALSE,FALSE,0,0,340,FALSE
Under a False Flag_2.1915,longitudinal,lenin,1,FALSE,TRUE,0,2,7072,FALSE
Vekhi Contributors and Nationalism_4.1913,longitudinal,lenin,1,FALSE,TRUE,0,1,448,FALSE
"War Speech, 1939",longitudinal,churchill,1,FALSE,FALSE,0,0,552,FALSE
"War of the Unknown Warriors, 1940",longitudinal,churchill,1,TRUE,FALSE,7,0,2085,FALSE
"We Shall Fight on the Beaches, 1940",longitudinal,churchill,1,TRUE,FALSE,1,0,3807,FALSE
"Winston Churchill's Broadcast on the Soviet-German War, 1941",longitudinal,churchill,1,TRUE,FALSE,8,0,2040,FALSE
american_civilization.1945,longitudinal,evola,1,FALSE,FALSE,0,0,3231,FALSE
anders_breivik_-_2083_manifesto_-_2011.pdf_book_one,non_longitudinal,NA,1,TRUE,TRUE,7,83,147388,TRUE
brenton-tarrant-the-great-replacement-manifesto.pdf,non_longitudinal,NA,1,TRUE,TRUE,6,28,16984,TRUE
character_3.3.1917,longitudinal,gramsci,1,FALSE,FALSE,0,0,582,FALSE
character_3.3.1917,non_longitudinal,NA,1,FALSE,FALSE,0,0,582,FALSE
cho_manifesto_1.1.pdf,non_longitudinal,NA,1,FALSE,TRUE,0,2,2184,FALSE
chronicles of the new order_9.13.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,507,FALSE
chronicles of the new order_9.13.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,507,FALSE
dark_age.1934,longitudinal,evola,1,FALSE,FALSE,0,0,861,FALSE
decadence.1928,longitudinal,evola,1,FALSE,FALSE,0,0,559,FALSE
degeneration.1938,longitudinal,evola,1,FALSE,FALSE,0,0,2118,FALSE
fascism.1928,longitudinal,evola,1,FALSE,FALSE,0,0,1081,FALSE
islamic_government_governance_of_the_jurist.pdf,non_longitudinal,NA,1,FALSE,TRUE,0,25,68475,FALSE
jihad.1934,longitudinal,evola,1,FALSE,FALSE,0,0,2102,FALSE
men or machines_12.24.1916,longitudinal,gramsci,1,FALSE,FALSE,0,0,1155,FALSE
men or machines_12.24.1916,non_longitudinal,NA,1,FALSE,FALSE,0,0,1155,FALSE
milestones-f1.pdf,non_longitudinal,NA,1,FALSE,TRUE,0,15,68070,FALSE
neo-pagans.1942,longitudinal,evola,1,FALSE,FALSE,0,0,2536,FALSE
occult.1953,longitudinal,evola,1,FALSE,FALSE,0,0,1025,FALSE
one year of history_3.16.1918,longitudinal,gramsci,1,FALSE,FALSE,0,0,917,FALSE
one year of history_3.16.1918,non_longitudinal,NA,1,FALSE,FALSE,0,0,917,FALSE
patrick_crusius_-_the_inconvenient_truth_about_me.pdf,non_longitudinal,NA,1,TRUE,TRUE,1,5,2420,TRUE
red ink_4.4.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,630,FALSE
red ink_4.4.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,630,FALSE
revolutionaries and elections_11.15.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,953,FALSE
revolutionaries and elections_11.15.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,953,FALSE
rodger_manifesto.pdf,non_longitudinal,NA,1,FALSE,TRUE,0,6,109530,FALSE
roofmanifesto.pdf,non_longitudinal,NA,1,FALSE,FALSE,0,0,2460,FALSE
split or disorder_12.11-18.1920,longitudinal,gramsci,1,FALSE,FALSE,0,0,931,FALSE
split or disorder_12.11-18.1920,non_longitudinal,NA,1,FALSE,FALSE,0,0,931,FALSE
ted-kaczynski-industrial-society-and-its-future-copy-sent-to-the-post.pdf,non_longitudinal,NA,1,FALSE,TRUE,0,13,35252,FALSE
the ape people_1.2.1921,longitudinal,gramsci,1,FALSE,TRUE,0,1,991,FALSE
the ape people_1.2.1921,non_longitudinal,NA,1,FALSE,TRUE,0,1,991,FALSE
the conquest of the state_7.12.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,2212,FALSE
the conquest of the state_7.12.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,2212,FALSE
the development of the revolution_9.13.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,1469,FALSE
the development of the revolution_9.13.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,1469,FALSE
the price of history_6.7.1919,longitudinal,gramsci,1,FALSE,TRUE,0,2,1628,FALSE
the price of history_6.7.1919,non_longitudinal,NA,1,FALSE,TRUE,0,2,1628,FALSE
the problem of power_11.29.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,1800,FALSE
the problem of power_11.29.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,1800,FALSE
the state and revolution - lenin.pdf,non_longitudinal,NA,1,FALSE,TRUE,0,4,40005,FALSE
the urban guerilla concept.pdf,non_longitudinal,NA,1,FALSE,TRUE,0,6,9362,FALSE
the-lawful-and-the-prohibited-in-islam_text.pdf,non_longitudinal,NA,1,FALSE,TRUE,0,30,121566,FALSE
unions and councils_10.11.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,1864,FALSE
unions and councils_10.11.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,1864,FALSE
unions and the dictatorship_10.25.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,1634,FALSE
unions and the dictatorship_10.25.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,1634,FALSE
universal declaration of human rights.pdf,non_longitudinal,NA,1,FALSE,FALSE,0,0,1784,FALSE
war is war_1.31.1921,longitudinal,gramsci,1,FALSE,FALSE,0,0,1201,FALSE
war is war_1.31.1921,non_longitudinal,NA,1,FALSE,FALSE,0,0,1201,FALSE
workers and peasants_1.3.1920,longitudinal,gramsci,1,FALSE,FALSE,0,0,878,FALSE
workers and peasants_1.3.1920,non_longitudinal,NA,1,FALSE,FALSE,0,0,878,FALSE
workers and peasants_8.2.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,1820,FALSE
workers and peasants_8.2.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,1820,FALSE
workers' democracy_6.21.1919,longitudinal,gramsci,1,FALSE,FALSE,0,0,1360,FALSE
workers' democracy_6.21.1919,non_longitudinal,NA,1,FALSE,FALSE,0,0,1360,FALSE
“Cultural-National” Autonomy_11.28.1913,longitudinal,lenin,1,FALSE,FALSE,0,0,1347,FALSE
“Disgrace” as the Capitalists and the Proletarians Understand It_5.5.1917,longitudinal,lenin,1,FALSE,FALSE,0,0,448,FALSE
